Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.502029,7885.796545,9764.789979000001,11392.45581,12307.311740000001,13496.00314,14046.50376,14936.82722,16241.046519999998,16439.356359999998,16586.06844,17927.74964,19078.34319,19356.203390000002,20620.700630000003,20669.03197,20436.887130000003,20833.761609999998,22569.97499,23300.03956,24045.27248,25835.13267,27084.70369,24630.453709999998,23512.6026,24985.993280000002,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.77319384,59.86087388,58.45801495,78.70638754,82.09523071,101.10830490000001,137.5943521,160.8985889,129.10832309999998,129.3297129,156.51893940000002,159.5675785,135.3173083,143.1446495,173.6537646,186.5108971,197.44550759999998,224.22479730000003,247.3541063,275.73819760000003,272.6552857,264.1113175,,,,,,,,,,,,,,,,,,,,,179.426611,190.68381430000002,211.38211690000003,242.0312849,263.7336917,359.6932375,364.66074480000003,438.07603439999997,543.3030418999999,591.1627589999999,641.8714792000001,637.1655232,613.8566892000001,578.4663529000001,547.2281102000001,556.3020024,524.1628808999999,502.1154869,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,710.9816481,642.383858,619.9613575,623.4405847999999,637.7152307,758.2375762,685.2700852999999,756.261853,792.3031202000001,890.5541365,947.7041821,865.6927296,656.361756,441.2006733,328.6732947,397.1794508,522.6438072999999,514.2952232,423.5936602,387.784316,556.8363181,527.3335285,872.4944916000001,982.9608992999999,1255.5640449999999,1902.422346,2599.566464,3121.995637,4080.9414100000004,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2973.59116,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492000001,1009.977668,717.3805674,813.7902636,1033.241693,1126.6833179999999,1281.659393,1425.124849,1846.1188129999998,2373.5798440000003,2673.7872829999997,2972.743265,3595.0371630000004,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631993999999,3952.801215,4124.055726,4531.020806,5284.380184000001,5352.857411,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.55685,3498.1736520000004,4217.173581,5342.16856,6319.739034,7169.101006,7152.375134000001,7751.370215999999,9129.706185,11820.849390000001,12377.41165,10372.232829999999,9610.266308,8022.654781,7728.906695000001,7774.393829000001,10361.81598,12616.16757,14304.35696,15166.43785,18878.50597,19532.54015,20547.71179,16516.47103,16234.809009999999,18461.06486,19017.174590000002,18353.059719999997,18894.5215,19261.7105,21854.2468,22971.53554,25066.88221,32271.9639,37969.17499,40066.25692,42675.81276,47803.69361,48718.496869999995,43503.18552,40852.66678,43335.32886,38686.461260000004,39538.76672,41303.92937,35762.523069999996,37474.66541,38962.88035,41793.05526,40886.39116,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,224.8786795,240.0362398,262.8674185,295.97172850000004,343.56730600000003,423.13549230000007,777.5625669,836.2108097999999,1007.143286,1123.145582,1193.748133,1563.707331,2052.961536,2050.774737,1864.8757010000002,1699.2197230000002,1672.2829160000001,1606.759809,1489.843744,1543.5169230000001,1476.044707,1505.509199,2009.4203489999998,1929.618437,2028.1917429999999,1997.278334,1989.840619,2073.142076,2236.328685,2319.4103489999998,2189.681123,2332.798104,2606.076582,2510.261947,2476.6960289999997,2736.4821190000002,3134.673534,3765.8204960000003,4359.807963,4963.541521,6146.391727,5176.528324,5934.2906840000005,6867.692047,7465.151651,7519.80826,7457.461109000001,6387.660615,6097.239025,6102.211067,6603.351189999999,6580.056257,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,26847.794380000003,30118.13778,33823.31965,28456.737439999997,33512.741330000004,42764.45666,44987.2098,40026.16625,34843.1029,32309.807739999997,29720.919469999997,23467.97667,23726.15233,22295.146109999998,24028.192880000002,27729.466419999997,26612.33554,26420.87275,25596.69227,25847.92612,27222.035860000004,28975.0229,29512.663739999996,26899.601769999997,28470.837860000003,33291.419369999996,31280.78428,31567.473710000002,33499.09375,36333.24984,39365.4339,41907.405660000004,41809.51638,44498.93423,32024.1816,33893.303510000005,39194.67662,40976.499710000004,42412.63028,43751.83889,38663.38381,38141.84676,40644.804039999995,43839.35635,43103.32306,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1155.89017,850.3047368999999,1173.238213,1279.113432,1272.802978,1062.5435519999999,1141.080481,1329.058659,1322.590804,1372.374343,1408.865208,2097.022579,2844.863648,2027.337124,1948.224686,2129.7082809999997,2146.364483,2520.921634,2758.835212,2776.32199,2927.8975600000003,3553.3777520000003,2659.7086,2926.12697,3613.6217090000005,3562.8756020000005,3985.19121,2383.867693,4333.482972999999,5735.360327,6823.537616,6969.118087999999,7483.139681999999,7408.708237999999,7721.354543,8213.1272,8289.505729,7774.736203,7708.100995999999,7208.371567,2593.40415,3349.8061239999997,4277.721351,5109.851325,5919.0120369999995,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.060419999998,12790.242470000001,14591.86338,11683.94962,10006.14897,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8546595,590.1210473,369.6326166,357.2032777,400.51523810000003,456.3750487,504.0585594,523.283068,609.1724375,597.4325147000001,622.7421391,694.4232277000001,783.2406986000001,930.1273219000001,1191.9190199999998,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.8047469999997,3681.857456,3838.1858009999996,3986.231624,3607.2966969999998,3591.829276,3914.501268,4220.490277,4622.733493,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8700.067705,8856.547459000001,8578.944723,8444.9817,8391.561067,8909.449156,9792.666806000001,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.955559999999,10823.4448,11466.690709999999,,
